Recording	Participant	Timeline	TOI	Interval	Media	Event_type	Validity	EventIndex	Start	Stop	Duration	AOI	Hit_proportion	FixationPointX	FixationPointY	Average_pupil_diameter	Saccade_direction	Average_velocity	Peak_velocity	Saccade_amplitude	Start_AOI	Landing_AOI	Start_position_X	Start_position_Y	Landing_position_X	Landing_position_Y
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Whole	560	169953	170020	67						356.41	198.07	381.28	13.65			0.20482	0.30964	0.66422	0.33845
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	425	170020	170386	366			0.66422	0.33845	2.87845										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Whole	561	170386	170403	17						267.68	40.96	40.96	1.04			0.66422	0.33845	0.66175	0.39926
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	426	170403	170620	217			0.66175	0.39926	2.85122										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Whole	562	170620	170670	50						189.73	240.33	613.95	12.44			0.66175	0.39926	0.25053	0.46978
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	427	170670	170953	283			0.25053	0.46978	2.85894										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Whole	563	170953	170986	33						17.33	174.37	285.99	6.43			0.25053	0.46978	0.46115	0.40404
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	428	170986	171919	933			0.46115	0.40404	2.87688										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Whole	564	171919	171985	67						353.2	207.37	362.39	14.08			0.46115	0.40404	0.94826	0.46216
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	429	171985	172435	450			0.94826	0.46216	2.94241										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Whole	565	172435	172502	67						174.63	180.09	294.77	11.72			0.94826	0.46216	0.54373	0.42412
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	430	172502	172652	150			0.54373	0.42412	2.91694										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Whole	566	172652	172668	17						170.42	106.09	106.09	2.55			0.54373	0.42412	0.4568	0.40945
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	431	172668	172918	250			0.4568	0.40945	2.89386										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Whole	567	172918	172935	17						65.58	32.15	32.15	1.18			0.4568	0.40945	0.48266	0.3525
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	432	172935	173135	200			0.48266	0.3525	2.85809										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Whole	568	173135	173201	67						332.25	160.23	281.64	10.93			0.48266	0.3525	0.84605	0.54366
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	433	173201	173468	266			0.84605	0.54366	2.90867										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Whole	569	173468	173501	33						337.77	67.78	87.89	2.35			0.84605	0.54366	0.92622	0.57643
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	434	173501	174017	516			0.92622	0.57643	2.91379										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Partial	570	174017	174034	17							639.57	639.57				0.92622	0.57643		
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Partial	435	174067	174267	200			0.37963	0.51134	2.87075										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Whole	571	174267	174300	33						330.89	61.38	81.63	2.24			0.37963	0.51134	0.44939	0.55019
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	436	174300	174484	183			0.44939	0.55019	2.85004										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Whole	572	174484	174500	17						331.95	55.48	55.48	0.92			0.44939	0.55019	0.47781	0.56533
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	437	174500	174683	183			0.47781	0.56533	2.83343										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Whole	573	174683	174700	17						269.21	51.6	51.6	0.89			0.47781	0.56533	0.47709	0.61798
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	438	174700	174850	150			0.47709	0.61798	2.83152										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Whole	574	174850	174883	33						88.74	54.61	73	1.7			0.47709	0.61798	0.4794	0.51319
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	439	174883	174983	100			0.4794	0.51319	2.83342										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Whole	575	174983	175050	67						348.88	204.18	350.97	13.72			0.4794	0.51319	0.93965	0.60366
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	440	175050	175350	300			0.93965	0.60366	2.83842										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Whole	576	175350	175366	17						290.45	37.15	37.15	0.67			0.93965	0.60366	0.95303	0.63954
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	441	175366	175533	167			0.95303	0.63954	2.86876										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Whole	577	175533	175599	67						177.7	193.98	429.12	13.77			0.95303	0.63954	0.48773	0.62082
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	442	175599	176116	516			0.48773	0.62082	2.90438										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Whole	578	176116	176166	50						339.78	146.14	264.68	7.51			0.48773	0.62082	0.73902	0.71338
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	443	176166	176332	167			0.73902	0.71338	2.8976										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Whole	579	176332	176366	33						8.84	129.97	154.44	4.92			0.73902	0.71338	0.90757	0.68715
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	444	176366	176615	250			0.90757	0.68715	2.89227										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Whole	580	176615	176632	17						172.98	35.99	35.99	0.92			0.90757	0.68715	0.86809	0.6823
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	445	176632	176915	283			0.86809	0.6823	2.90077										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Whole	581	176915	176965	50						177.74	261.99	645.55	13.57			0.86809	0.6823	0.41315	0.66436
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	446	176965	177348	383			0.41315	0.66436	2.8771										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Whole	582	177348	177365	17						166.63	47.97	47.97	1.23			0.41315	0.66436	0.36837	0.65371
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	447	177365	177515	150			0.36837	0.65371	2.89468										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Partial	583	177515	177548	33							363.77	690.86				0.36837	0.65371		
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Partial	584	177565	177581	17							76.16	76.16						0.84442	0.67486
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	448	177581	177881	300			0.84442	0.67486	2.96567										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Whole	585	177881	177898	17						169.78	709.27	709.27	11.14			0.84442	0.67486	0.46769	0.60697
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	449	177898	178048	150			0.46769	0.60697	2.93126										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Whole	586	178048	178064	17						357.35	190.2	190.2	3.92			0.46769	0.60697	0.59747	0.61297
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	450	178064	178414	350			0.59747	0.61297	2.95909										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Whole	587	178414	178431	17						340.54	72.8	72.8	1.28			0.59747	0.61297	0.64085	0.6283
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	451	178431	178547	117			0.64085	0.6283	2.97711										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Whole	588	178547	178597	50						179.08	285.18	673.14	14.46			0.64085	0.6283	0.1537	0.6205
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	452	178597	178947	350			0.1537	0.6205	2.92199										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Whole	589	178947	178964	17						343.89	94.34	94.34	1.88			0.1537	0.6205	0.21968	0.63955
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	453	178964	179264	300			0.21968	0.63955	2.91234										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Whole	590	179264	179297	33						348.4	39.39	48.55	1.8			0.21968	0.63955	0.28431	0.65282
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	454	179297	179430	133			0.28431	0.65282	2.8939										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Whole	591	179430	179463	33						155.13	45.57	54.43	1.59			0.28431	0.65282	0.23287	0.62898
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	455	179463	179613	150			0.23287	0.62898	2.90629										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Whole	592	179613	179680	67						354.19	210.63	415.39	14.15			0.23287	0.62898	0.70727	0.67724
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	456	179680	179880	200			0.70727	0.67724	2.88553										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Whole	593	179880	179896	17						49.32	35.12	35.12	0.71			0.70727	0.67724	0.72651	0.65486
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	457	179896	180113	217			0.72651	0.65486	2.88538										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Whole	594	180113	180130	17						313.28	32.9	32.9	0.87			0.72651	0.65486	0.74995	0.67975
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	458	180130	180346	217			0.74995	0.67975	2.88585										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Whole	595	180346	180396	50						174.79	240.93	335.09	12.99			0.74995	0.67975	0.30999	0.63967
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	459	180396	180546	150			0.30999	0.63967	2.86911										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Whole	596	180546	180563	17						194.38	82.56	82.56	1.91			0.30999	0.63967	0.2463	0.656
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	460	180563	180812	250			0.2463	0.656	2.85987										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Whole	597	180812	180829	17						222.41	34.12	34.12	1.3			0.2463	0.656	0.20775	0.69121
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	461	180829	180996	167			0.20775	0.69121	2.86129										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Whole	598	180996	181029	33						355.99	423.98	815.81	14.55			0.20775	0.69121	0.69767	0.72557
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	462	181029	181545	516			0.69767	0.72557	2.88779										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Partial	599	181545	181562	17							37.37	37.37				0.69767	0.72557		
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Partial	600	181579	181595	17							50.65	50.65						0.69973	0.72788
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	463	181595	181728	133			0.69973	0.72788	2.89272										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Whole	601	181728	181745	17						340.53	30.55	30.55	0.94			0.69973	0.72788	0.73168	0.73918
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	464	181745	182012	266			0.73168	0.73918	2.91887										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Whole	602	182012	182028	17						172.99	115.86	115.86	2.25			0.73168	0.73918	0.6551	0.72976
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	465	182028	182228	200			0.6551	0.72976	2.93402										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Partial	603	182228	182261	33							37.66	43				0.6551	0.72976		
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Partial	604	182311	182361	50							288.47	787.2						0.19912	0.73237
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	466	182361	182728	366			0.19912	0.73237	2.89628										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Whole	605	182728	182761	33						12.23	156.04	244.29	5.18			0.19912	0.73237	0.37	0.69534
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	467	182761	183494	733			0.37	0.69534	2.84462										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Whole	606	183494	183560	67						356.69	191.01	601.44	12.86			0.37	0.69534	0.80747	0.72066
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	468	183560	183794	233			0.80747	0.72066	2.9037										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Whole	607	183794	183827	33						28.45	49.17	51.19	1.94			0.80747	0.72066	0.87065	0.68643
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	469	183827	184077	250			0.87065	0.68643	2.86253										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Whole	608	184077	184127	50						172.72	331.45	481.14	16.99			0.87065	0.68643	0.29831	0.61336
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	470	184127	184377	250			0.29831	0.61336	2.81459										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Whole	609	184377	184393	17						190.23	68.44	68.44	1.71			0.29831	0.61336	0.24119	0.62367
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	471	184393	184493	100			0.24119	0.62367	2.82633										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Partial	610	184493	184510	17							752.1	752.1				0.24119	0.62367		
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Partial	611	184526	184543	17							42.51	42.51						0.71873	0.58976
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	472	184543	184810	266			0.71873	0.58976	2.84289										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Whole	612	184810	184843	33						182.43	89.07	126.92	3.09			0.71873	0.58976	0.61294	0.59424
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	473	184843	184976	133			0.61294	0.59424	2.83835										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Whole	613	184976	185026	50						180.1	192.29	290.86	10.02			0.61294	0.59424	0.27714	0.59479
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	474	185026	185159	133			0.27714	0.59479	2.83109										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Whole	614	185159	185193	33						10.14	33.61	36.61	1.3			0.27714	0.59479	0.32116	0.58692
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	475	185193	185442	250			0.32116	0.58692	2.79419										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Whole	615	185442	185459	17						190.39	42.18	42.18	1.58			0.32116	0.58692	0.26845	0.59659
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	476	185459	185592	133			0.26845	0.59659	2.78743										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Whole	616	185592	185626	33						35.79	53.04	62.44	1.97			0.26845	0.59659	0.33045	0.5519
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	477	185626	185792	167			0.33045	0.5519	2.79147										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Whole	617	185792	185842	50						356.52	270.97	353.56	13.75			0.33045	0.5519	0.79498	0.58011
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	478	185842	186042	200			0.79498	0.58011	2.83717										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Whole	618	186042	186059	17						286.32	46.25	46.25	0.6			0.79498	0.58011	0.80439	0.61226
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	479	186059	186575	516			0.80439	0.61226	2.8866										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Whole	619	186575	186625	50						177.57	261.77	694.98	13.04			0.80439	0.61226	0.36223	0.59348
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	480	186625	186808	183			0.36223	0.59348	2.87548										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Whole	620	186808	186825	17						188.43	41.9	41.9	1.02			0.36223	0.59348	0.32629	0.5988
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	481	186825	187274	450			0.32629	0.5988	2.88194										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Whole	621	187274	187291	17						190.35	45.66	45.66	0.95			0.32629	0.5988	0.29521	0.60448
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	482	187291	187458	167			0.29521	0.60448	2.90448										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Whole	622	187458	187508	50						352.74	286.05	476.38	14.71			0.29521	0.60448	0.79116	0.66763
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	483	187508	187941	433			0.79116	0.66763	2.93457										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Partial	623	187941	187957	17							746.7	746.7				0.79116	0.66763		
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Partial	624	187974	187991	17							52.91	52.91						0.33367	0.6487
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	484	187991	188207	217			0.33367	0.6487	2.90074										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Whole	625	188207	188224	17						144.9	33.05	33.05	0.76			0.33367	0.6487	0.31096	0.63274
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	485	188224	188374	150			0.31096	0.63274	2.86017										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Whole	626	188374	188390	17						285.25	35.71	35.71	1.06			0.31096	0.63274	0.32658	0.69005
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	486	188390	188590	200			0.32658	0.69005	2.84065										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Whole	627	188590	188657	67						358.04	218.39	454.75	15.19			0.32658	0.69005	0.83484	0.70744
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	487	188657	188807	150			0.83484	0.70744	2.88754										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Whole	628	188807	188823	17						196.07	33.59	33.59	1.03			0.83484	0.70744	0.80216	0.71686
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	488	188823	189190	366			0.80216	0.71686	2.87509										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Whole	629	189190	189223	33						73.11	66.15	89.59	2.58			0.80216	0.71686	0.84509	0.57542
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	489	189223	189456	233			0.84509	0.57542	2.89314										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Whole	630	189456	189490	33						54	49.2	54.59	1.32			0.84509	0.57542	0.88165	0.52511
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	490	189490	189656	167			0.88165	0.52511	2.87171										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Whole	631	189656	189689	33						106.88	33.92	35.72	1.35			0.88165	0.52511	0.85953	0.45222
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	491	189689	189773	83			0.85953	0.45222	2.82213										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Partial	632	189773	189789	17							71.54	71.54				0.85953	0.45222		
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Partial	633	189823	189839	17							64.98	64.98						0.86215	0.44098
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	492	189839	190023	183			0.86215	0.44098	2.8556										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Partial	634	190023	190089	67							233.37	736.64				0.86215	0.44098		
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Partial	635	190106	190122	17							82.06	82.06						0.27544	0.48059
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	493	190122	190306	183			0.27544	0.48059	2.79832										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Whole	636	190306	190322	17						148.49	118.07	118.07	2.56			0.27544	0.48059	0.19125	0.42898
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	494	190322	190539	217			0.19125	0.42898	2.82005										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Whole	637	190539	190555	17						102.85	42.39	42.39	0.8			0.19125	0.42898	0.1812	0.38494
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	495	190555	190855	300			0.1812	0.38494	2.77336										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Partial	638	190855	190905	50							292.52	777.67				0.1812	0.38494		
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Partial	639	190922	190939	17							169.05	169.05						0.79701	0.39297
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	496	190939	191105	167			0.79701	0.39297	2.81724										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Whole	640	191105	191122	17						164.61	148.83	148.83	3.09			0.79701	0.39297	0.68909	0.36326
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	497	191122	191188	67			0.68909	0.36326	2.85995										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Whole	641	191188	191205	17						340.9	262.85	262.85	4.58			0.68909	0.36326	0.84634	0.41771
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	498	191205	191272	67			0.84634	0.41771	2.86996										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Whole	642	191272	191288	17						343.2	65.76	65.76	1.8			0.84634	0.41771	0.91668	0.43894
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	499	191288	191405	117			0.91668	0.43894	2.93907										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Whole	643	191405	191438	33						187.39	46.23	62.11	1.18			0.91668	0.43894	0.86687	0.44541
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	500	191438	191788	350			0.86687	0.44541	2.94633										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Whole	644	191788	191855	67						180.43	274.21	500.74	18.56			0.86687	0.44541	0.22608	0.4502
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	501	191855	192004	150			0.22608	0.4502	2.98671										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Whole	645	192004	192021	17						192.22	46.77	46.77	1.12			0.22608	0.4502	0.18922	0.45817
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	502	192021	192304	283			0.18922	0.45817	2.95656										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Whole	646	192304	192321	17						273.29	42.76	42.76	0.79			0.18922	0.45817	0.1921	0.50822
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	503	192321	192554	233			0.1921	0.50822	2.94861										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Partial	647	192554	192604	50							325.05	535.22				0.1921	0.50822		
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Partial	648	192621	192654	33							88.4	128.03						0.83309	0.53778
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	504	192654	192837	183			0.83309	0.53778	3.01036										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Partial	649	192837	192854	17							49.16	49.16				0.83309	0.53778		
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Partial	650	192871	192920	50							79.54	158.06						0.72079	0.50131
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	505	192920	193070	150			0.72079	0.50131	2.92864										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Whole	651	193070	193087	17						138.97	44.75	44.75	1.01			0.72079	0.50131	0.68995	0.47448
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	506	193087	193337	250			0.68995	0.47448	2.90864										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Whole	652	193337	193354	17						183.86	636.02	636.02	10.97			0.68995	0.47448	0.31651	0.49967
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	507	193354	193637	283			0.31651	0.49967	2.81755										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Whole	653	193637	193687	50						8.12	174.48	213.54	9.18			0.31651	0.49967	0.62242	0.45605
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	508	193687	193870	183			0.62242	0.45605	2.87397										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Whole	654	193870	193886	17						3.92	60.74	60.74	1.72			0.62242	0.45605	0.67853	0.45221
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	509	193886	194103	217			0.67853	0.45221	2.86778										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Whole	655	194103	194120	17						290.75	56.24	56.24	1.65			0.67853	0.45221	0.71179	0.54002
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	510	194120	194303	183			0.71179	0.54002	2.87648										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Whole	656	194303	194319	17						111.81	61.74	61.74	1.38			0.71179	0.54002	0.68604	0.47568
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	511	194319	194519	200			0.68604	0.47568	2.88167										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Whole	657	194519	194553	33						286.51	36.5	42.57	1.37			0.68604	0.47568	0.70715	0.5469
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	512	194553	194703	150			0.70715	0.5469	2.88217										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Partial	658	194703	194719	17							643.81	643.81				0.70715	0.5469		
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Partial	659	194736	194753	17							31.88	31.88						0.30083	0.54176
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	513	194753	194952	200			0.30083	0.54176	2.87968										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Whole	660	194952	194986	33						53.48	78.26	123.06	2.66			0.30083	0.54176	0.37303	0.44426
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	514	194986	195402	416			0.37303	0.44426	2.80635										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Whole	661	195402	195419	17						169.63	174.34	174.34	3.46			0.37303	0.44426	0.25807	0.42322
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Whole	515	195419	195485	67			0.25807	0.42322	2.76683										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Partial	662	195485	195502	17							725.87	725.87				0.25807	0.42322		
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Partial	516	195535	195768	233			0.80685	0.42325	2.79357										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Whole	663	195768	195785	17						224.81	35.77	35.77	1.22			0.80685	0.42325	0.78686	0.4431
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Partial	517	195785	195852	67			0.78686	0.4431	2.85546										
Recording1	M	Timeline1	Entire Recording	1	Task2	Fixation	Partial	518	195868	195985	117			0.88976	0.41125	2.89888										
Recording1	M	Timeline1	Entire Recording	1	Task2	Saccade	Whole	664	195985	196002	17						247.58	41.85	41.85	1.01			0.88976	0.41125	0.88487	0.42308
